[snack_mall] 2026-05-28 00:56:58.195 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
[snack_mall] 2026-05-28 00:56:58.258 [main] INFO  com.cow.MallApplication - Starting MallApplication on LAPTOP-OKUDRRGG with PID 20280 (D:\桌面文件\家电销售系统\springboot\target\classes started by zzy in D:\桌面文件\家电销售系统\springboot)
[snack_mall] 2026-05-28 00:56:58.260 [main] INFO  com.cow.MallApplication - The following profiles are active: redis,mail,jdbc
[snack_mall] 2026-05-28 00:57:00.138 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 00:57:00.139 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[snack_mall] 2026-05-28 00:57:00.277 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 120ms. Found 0 JPA repository interfaces.
[snack_mall] 2026-05-28 00:57:00.304 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[snack_mall] 2026-05-28 00:57:00.306 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[snack_mall] 2026-05-28 00:57:00.412 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89ms. Found 0 Redis repository interfaces.
[snack_mall] 2026-05-28 00:57:00.847 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor - Post-processing PropertySource instances
[snack_mall] 2026-05-28 00:57:00.882 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
[snack_mall] 2026-05-28 00:57:00.882 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 00:57:00.882 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
[snack_mall] 2026-05-28 00:57:00.883 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
